<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
BTC-USD,D,171016,00:00:00,5754.9000000
BTC-USD,D,171017,00:00:00,5594.0000000
BTC-USD,D,171018,00:00:00,5574.4400000
BTC-USD,D,171019,00:00:00,5704.0100000
BTC-USD,D,171020,00:00:00,5989.1000000
BTC-USD,D,171021,00:00:00,6024.8600000
BTC-USD,D,171022,00:00:00,6005.0500000
BTC-USD,D,171023,00:00:00,5905.9900000
BTC-USD,D,171024,00:00:00,5525.4300000
BTC-USD,D,171025,00:00:00,5739.9700000
BTC-USD,D,171026,00:00:00,5891.6100000
BTC-USD,D,171027,00:00:00,5780.0000000
BTC-USD,D,171028,00:00:00,5752.0100000
BTC-USD,D,171029,00:00:00,6140.0100000
BTC-USD,D,171030,00:00:00,6124.1600000
BTC-USD,D,171031,00:00:00,6445.0100000
BTC-USD,D,171101,00:00:00,6783.6900000
BTC-USD,D,171102,00:00:00,7039.9800000
BTC-USD,D,171103,00:00:00,7170.0100000
BTC-USD,D,171104,00:00:00,7412.5500000
BTC-USD,D,171105,00:00:00,7392.0000000
BTC-USD,D,171106,00:00:00,6969.7600000
BTC-USD,D,171107,00:00:00,7126.6300000
BTC-USD,D,171108,00:00:00,7467.9600000
BTC-USD,D,171109,00:00:00,7156.0000000
BTC-USD,D,171110,00:00:00,6577.6200000
BTC-USD,D,171111,00:00:00,6346.7000000
BTC-USD,D,171112,00:00:00,5886.3500000
BTC-USD,D,171113,00:00:00,6535.8700000
BTC-USD,D,171114,00:00:00,6605.0000000
BTC-USD,D,171115,00:00:00,7294.0000000
BTC-USD,D,171116,00:00:00,7838.5300000
BTC-USD,D,171117,00:00:00,7714.7100000
BTC-USD,D,171118,00:00:00,7777.0100000
BTC-USD,D,171119,00:00:00,8031.8200000
BTC-USD,D,171120,00:00:00,8256.0100000
BTC-USD,D,171121,00:00:00,8109.0000000
BTC-USD,D,171122,00:00:00,8250.0000000
BTC-USD,D,171123,00:00:00,8031.1600000
BTC-USD,D,171124,00:00:00,8215.0100000
BTC-USD,D,171125,00:00:00,8795.5000000
BTC-USD,D,171126,00:00:00,9401.1100000
BTC-USD,D,171127,00:00:00,9768.7100000
BTC-USD,D,171128,00:00:00,9949.0000000
BTC-USD,D,171129,00:00:00,9935.9800000
BTC-USD,D,171130,00:00:00,9903.0000000
BTC-USD,D,171201,00:00:00,10869.8400000
BTC-USD,D,171202,00:00:00,10930.2400000
BTC-USD,D,171203,00:00:00,11290.0000000
BTC-USD,D,171204,00:00:00,11643.9800000
BTC-USD,D,171205,00:00:00,11718.3500000
BTC-USD,D,171206,00:00:00,14090.0000000
BTC-USD,D,171207,00:00:00,17390.0100000
BTC-USD,D,171208,00:00:00,16367.0300000
BTC-USD,D,171209,00:00:00,15309.9800000
BTC-USD,D,171210,00:00:00,15290.0100000
BTC-USD,D,171211,00:00:00,16885.7600000
BTC-USD,D,171212,00:00:00,17730.1200000
BTC-USD,D,171213,00:00:00,16689.6100000
BTC-USD,D,171214,00:00:00,16749.7800000
BTC-USD,D,171215,00:00:00,17738.6700000
BTC-USD,D,171216,00:00:00,19650.0100000
BTC-USD,D,171217,00:00:00,19378.9900000
BTC-USD,D,171218,00:00:00,19039.0100000
BTC-USD,D,171219,00:00:00,17838.7300000
BTC-USD,D,171220,00:00:00,16496.8900000
BTC-USD,D,171221,00:00:00,15758.8000000
BTC-USD,D,171222,00:00:00,14210.5700000
BTC-USD,D,171223,00:00:00,15075.8900000
BTC-USD,D,171224,00:00:00,14221.9400000
