<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SANDP-500,D,190327,00:00:00,2805.3700000
SANDP-500,D,190328,00:00:00,2815.4400000
SANDP-500,D,190329,00:00:00,2834.4000000
SANDP-500,D,190401,00:00:00,2867.1900000
SANDP-500,D,190402,00:00:00,2867.2400000
SANDP-500,D,190403,00:00:00,2873.4000000
SANDP-500,D,190404,00:00:00,2879.3900000
SANDP-500,D,190405,00:00:00,2892.7400000
SANDP-500,D,190408,00:00:00,2895.7700000
SANDP-500,D,190409,00:00:00,2878.2000000
SANDP-500,D,190410,00:00:00,2888.2100000
SANDP-500,D,190411,00:00:00,2888.3200000
SANDP-500,D,190412,00:00:00,2907.4100000
SANDP-500,D,190415,00:00:00,2905.5800000
SANDP-500,D,190416,00:00:00,2907.0600000
SANDP-500,D,190417,00:00:00,2900.4500000
SANDP-500,D,190418,00:00:00,2905.0300000
SANDP-500,D,190422,00:00:00,2907.9700000
SANDP-500,D,190423,00:00:00,2933.6800000
SANDP-500,D,190424,00:00:00,2927.2500000
SANDP-500,D,190425,00:00:00,2926.1700000
SANDP-500,D,190426,00:00:00,2939.8800000
SANDP-500,D,190429,00:00:00,2943.0300000
SANDP-500,D,190430,00:00:00,2945.8300000
SANDP-500,D,190501,00:00:00,2923.7300000
SANDP-500,D,190502,00:00:00,2917.5200000
SANDP-500,D,190503,00:00:00,2945.6400000
SANDP-500,D,190506,00:00:00,2932.4700000
SANDP-500,D,190507,00:00:00,2884.0500000
SANDP-500,D,190508,00:00:00,2879.4200000
SANDP-500,D,190509,00:00:00,2870.7200000
SANDP-500,D,190510,00:00:00,2881.4000000
SANDP-500,D,190513,00:00:00,2811.8700000
SANDP-500,D,190514,00:00:00,2834.4100000
SANDP-500,D,190515,00:00:00,2850.9600000
SANDP-500,D,190516,00:00:00,2876.3200000
SANDP-500,D,190517,00:00:00,2859.5300000
SANDP-500,D,190520,00:00:00,2840.2300000
SANDP-500,D,190521,00:00:00,2864.3600000
SANDP-500,D,190522,00:00:00,2856.2700000
SANDP-500,D,190523,00:00:00,2822.2400000
SANDP-500,D,190524,00:00:00,2826.0600000
SANDP-500,D,190528,00:00:00,2802.3900000
SANDP-500,D,190529,00:00:00,2783.0200000
SANDP-500,D,190530,00:00:00,2788.8600000
SANDP-500,D,190531,00:00:00,2752.0600000
SANDP-500,D,190603,00:00:00,2744.4500000
SANDP-500,D,190604,00:00:00,2803.2700000
SANDP-500,D,190605,00:00:00,2826.1500000
SANDP-500,D,190606,00:00:00,2843.4900000
SANDP-500,D,190607,00:00:00,2873.3400000
SANDP-500,D,190610,00:00:00,2886.7300000
SANDP-500,D,190611,00:00:00,2885.7200000
SANDP-500,D,190612,00:00:00,2879.8400000
SANDP-500,D,190613,00:00:00,2891.6400000
